Table S2: differentially regulated genes (DEGs) between mouse GP1 and GP2 clusters;;;;;;
;;;;;;
Gene;baseMean;log2FoldChange;lfcSE;stat;pvalue;padj
CGREF1;0,241519931;2,500530412;0,533891847;3,161560547;0,001569262;
ARID5B;0,601489371;2,494950771;0,566730339;3,353063995;0,000799222;0,005406624
COL1A2;58,03759781;2,492719242;0,225127031;11,27370224;1,77E-29;4,78E-27
EGFR;0,708199539;2,472015101;0,486394073;5,248988973;1,53E-07;2,79E-06
HIP1;1,803722257;2,469270549;0,281114654;9,193970197;3,79E-20;5,23E-18
CHAD;37,71170342;2,469091549;0,163385474;15,25403957;1,55E-52;1,37E-49
NFIB;6,127191885;2,451689891;0,184833832;13,71662435;8,07E-43;5,57E-40
SLC16A3;0,216733496;2,437721785;0,675624921;2,259609838;0,023845477;
ARHGAP26;0,13407389;2,403869973;1,084328833;0,911823792;0,361861484;
SPARCL1;0,853799162;2,350668057;0,408923671;6,062533435;1,34E-09;3,68E-08
MTMR10;0,890625819;2,345791877;0,304265203;7,522913684;5,36E-14;3,03E-12
CRACR2B;0,239100661;2,333532018;0,684497711;2,231829849;0,025626211;
ERG;3,953391008;2,331752109;0,325539356;7,781338052;7,18E-15;4,64E-13
AK4;0,303257741;2,311855275;0,458896352;3,837803163;0,00012414;0,00109384
LSAMP;0,744695366;2,308502786;0,57115046;2,544694778;0,010937329;0,046824735
COL3A1;9,260985687;2,298540633;0,25579836;9,27393029;1,79E-20;2,53E-18
ISM1;1,32580165;2,282602552;0,351262952;7,082583263;1,41E-12;6,37E-11
SHC3;0,296546273;2,275057294;0,734859168;2,221654671;0,026306652;
FXYD3;4,140317195;2,248155602;0,330363842;7,113786556;1,13E-12;5,20E-11
BMP2;0,580087499;2,24364309;0,447308887;4,535855792;5,74E-06;7,11E-05
ITGBL1;4,650246841;2,23930726;0,357284543;6,629775018;3,36E-11;1,19E-09
LBP;1,411281055;2,225049484;0,331993463;7,024054207;2,16E-12;9,43E-11
STC2;0,126916823;2,21356364;1,112060512;1,181456826;0,237421295;
GRB14;0,525228411;2,162243674;0,445793015;4,453682903;8,44E-06;0,000101031
SRPX;1,402444828;2,156844246;0,222717836;9,822377296;9,02E-23;1,47E-20
ANXA8;0,958825522;2,153760917;0,358321125;6,326217446;2,51E-10;7,76E-09
LRP5;0,491628065;2,153645205;0,341384021;5,769920535;7,93E-09;1,82E-07
FAM129A;0,305770863;2,153580457;0,765000602;1,843691796;0,065228069;0,179369972
NREP;10,10741873;2,150803731;0,130616332;16,55917645;1,37E-61;2,13E-58
FGF2;0,70599666;2,132939168;0,354781081;5,939030945;2,87E-09;7,28E-08
SLC22A4;0,41358259;2,106289422;0,436326649;2,290650845;0,021983616;0,080315496
ID2;1,999893301;2,103880313;0,284271815;7,744593802;9,59E-15;6,09E-13
PTPRJ;1,036051357;2,097488714;0,317007496;7,016701242;2,27E-12;9,77E-11
PDE11A;0,69174656;2,092049136;0,597118178;4,075930638;4,58E-05;0,000453344
SLC38A1;0,837188933;2,090412186;0,368811029;5,934338121;2,95E-09;7,42E-08
DLK1;0,90447988;2,087331478;0,462772589;5,192565946;2,07E-07;3,70E-06
THBS2;0,505465636;2,085830861;0,38640387;5,169869413;2,34E-07;4,11E-06
TBX18;0,391725232;2,084598189;0,504366145;3,117325776;0,001824998;0,010675034
TAFA5;0,629285801;2,081886577;0,286758948;6,955535196;3,51E-12;1,46E-10
RTL4;4,453835864;2,07879484;0,378305056;5,957326602;2,56E-09;6,58E-08
RRM2;0,284570795;2,07774472;1,04244595;1,819596708;0,068820443;
PRKCD;0,31573933;2,058155889;0,409984241;4,02402568;5,72E-05;0,00055618
GCLC;0,824158495;2,052068352;0,383662058;5,588778832;2,29E-08;4,86E-07
RAMP1;0,279969259;2,038849424;0,761180616;2,37710694;0,017449029;
TSPO;0,534458633;2,029526711;0,40465611;4,852156941;1,22E-06;1,82E-05
ITGA1;0,353403468;2,024463239;0,474364949;3,318687871;0,000904415;0,006008795
NDRG4;0,189241971;2,022379877;0,684824218;1,846460082;0,06482543;
HMGA2;0,654517001;2,005329778;0,532404489;2,715330497;0,006620966;0,031111528
ID4;0,518951767;1,996628401;0,403747539;4,776916125;1,78E-06;2,56E-05
MATN1;0,796840869;1,996252623;0,60422011;1,943866653;0,051911534;0,154589859
DISP1;0,456989446;1,98596892;0,469769996;3,694324534;0,000220472;0,001802069
ZDHHC23;0,218352404;1,968019931;0,76467456;1,678298193;0,093288901;
LSMEM1;1,113548167;1,967836137;0,526035509;4,021331105;5,79E-05;0,000561527
RBP4;6,248836498;1,958325863;0,276062609;7,439366837;1,01E-13;5,56E-12
FZD8;0,562884162;1,943367797;0,400403243;4,825991109;1,39E-06;2,03E-05
PRKG1;26,77074252;1,938315308;0,23908878;8,41861676;3,81E-17;3,64E-15
IQCN;0,434955869;1,936516561;0,582216914;2,975328034;0,002926754;0,015864743
C530008M17RIK;2,855894193;1,935055577;0,260590888;7,975951044;1,51E-15;1,06E-13
VIT;4,17183027;1,919486486;0,281739957;7,210136185;5,59E-13;2,69E-11
MEF2A;7,500428197;1,911709507;0,177535538;11,16247079;6,22E-29;1,61E-26
MEOX2;0,195315602;1,901448686;1,040751202;1,255362211;0,209347301;
NINL;0,189345391;1,898457046;0,634568769;2,158807834;0,030865079;
FHL1;0,879365438;1,883080743;0,357987903;5,792775562;6,92E-09;1,62E-07
EFNA5;1,516304376;1,876193437;0,3688356;5,638988161;1,71E-08;3,77E-07
BMPR1B;0,394921376;1,875982445;1,05997774;1,791259546;0,073251655;0,194378163
TMEM119;0,251727708;1,867602804;0,641407809;2,166868489;0,030244883;
PCLAF;0,45510969;1,8478107;1,091839764;2,139016456;0,032434336;0,108498704
NIM1K;0,748917548;1,844996615;0,315910574;6,030752375;1,63E-09;4,39E-08
RARRES1;0,11934543;1,841350956;1,179971149;1,258712777;0,208134095;
SMPD3;6,159580908;1,835661831;0,210388474;8,936665453;4,01E-19;4,98E-17
CATSPERE2;0,15797047;1,83038448;0,845280757;0,864653384;0,387229062;
SCUBE1;0,591172354;1,822851447;0,42204302;4,450581891;8,56E-06;0,000102304
GRK5;2,304346726;1,816262459;0,284592993;6,924413681;4,38E-12;1,77E-10
PHTF2;2,752158782;1,815410156;0,287219346;6,882718783;5,87E-12;2,31E-10
PTPN3;0,591271828;1,814463824;0,387163093;4,523701833;6,08E-06;7,49E-05
P3H2;2,744286147;1,804238749;0,289767351;6,720228604;1,81E-11;6,79E-10
NINJ1;0,794690544;1,800041779;0,24494064;7,530855198;5,04E-14;2,90E-12
CDON;2,36504606;1,794032801;0,225756384;8,349708607;6,84E-17;6,07E-15
MKX;0,246201891;1,788882681;0,572906748;1,413088562;0,157629686;
ECM2;3,98447958;1,787856203;0,190035465;9,756988675;1,72E-22;2,67E-20
DCN;11,32859204;1,785600914;0,168537555;10,80023641;3,43E-27;8,20E-25
PRRX1;2,74227411;1,783160982;0,226636233;8,279434939;1,24E-16;1,05E-14
ADARB1;1,057308826;1,780452769;0,294683981;6,477773381;9,31E-11;3,08E-09
ALPL;3,544125094;1,770219005;0,281781839;6,668875791;2,58E-11;9,42E-10
SARDH;0,244447453;1,76494348;0,7156858;1,589210024;0,112012984;
VWA1;0,130720405;1,757751369;1,063516311;0,998759783;0,317911072;
SMAD6;0,259788386;1,756584757;0,590076391;2,390360523;0,016831841;
OGFRL1;0,244580713;1,753388923;0,668189878;2,346407924;0,018955349;
ZFP365;0,111777253;1,752767162;1,213586015;1,033043371;0,301583603;
CREB3L1;1,234381369;1,741975476;0,258946328;7,306579025;2,74E-13;1,40E-11
TRIM47;0,842517651;1,731133325;0,263875154;6,808263579;9,88E-12;3,76E-10
ABCC1;0,526447766;1,731006629;0,343672578;4,885532294;1,03E-06;1,55E-05
SEMA5A;1,38252757;1,72733558;0,38706937;4,93370483;8,07E-07;1,24E-05
TRIL;0,129971069;1,709183358;1,079544047;1,005176332;0,31481195;
GHR;6,715333759;1,706818056;0,214320358;8,225489468;1,94E-16;1,59E-14
COL5A1;3,28523572;1,699544674;0,246173254;7,332365615;2,26E-13;1,17E-11
PCDH9;7,997407402;1,692243134;0,311073252;5,885672382;3,96E-09;9,81E-08
ADD3;0,382923906;1,690933513;0,708200691;1,779501749;0,075157538;0,197627021
TGM2;0,613084086;1,688656192;0,482613699;3,598841107;0,000319638;0,002488685
S100A4;0,630221649;1,686143886;0,520019117;2,792370951;0,005232333;0,025878388
PENK;0,734702003;1,676649182;0,377187978;0,474225462;0,635339138;0,789029734
CP;0,485060501;1,668424999;0,478689405;3,609904385;0,00030631;0,002411657
EFR3B;0,51025679;1,653051459;0,41271057;4,06946259;4,71E-05;0,000465374
TAGLN2;0,876526134;1,647374948;0,387239269;4,960032625;7,05E-07;1,10E-05
RAPGEF3;0,126431403;1,646666657;0,996117245;1,16478971;0,244104125;
PHEX;0,331493846;1,645901236;0,862898872;1,889786957;0,058786459;0,168286397
DPYSL3;0,290340631;1,634566911;0,658613709;2,072495103;0,038219292;
NFKBIA;1,414099861;1,632995069;0,280054911;6,293505395;3,10E-10;9,45E-09
ARSJ;0,446213125;1,630657203;0,459470574;2,010307304;0,044398674;0,137352871
LAYN;0,328299908;1,612453054;0,562581351;2,272856119;0,023034852;0,082904113
EPS8L2;1,380352439;1,6119433;0,198168521;8,463406124;2,60E-17;2,52E-15
TMEM30B;0,184389986;1,609355849;0,764396005;1,574068159;0,115471693;
TPST1;1,439130086;1,605963513;0,168104216;9,823805286;8,89E-23;1,47E-20
PRDX6;1,447229591;1,60480691;0,191457568;8,693013544;3,53E-18;3,84E-16
RBMS3;3,011876378;1,594193003;0,309963469;5,710654605;1,13E-08;2,53E-07
CCDC80;2,542986795;1,589097315;0,284574505;5,965077224;2,45E-09;6,36E-08
HAPLN3;0,744809465;1,581767862;0,423409339;3,775764219;0,000159518;0,001353722
NR1D1;0,61960852;1,578304161;0,384654972;4,561761234;5,07E-06;6,46E-05
VILL;0,271690774;1,573877755;0,404844223;3,323798536;0,000888003;
CD302;0,700221402;1,558436643;0,240130012;6,636289386;3,22E-11;1,15E-09
ASAP2;1,542205066;1,554261547;0,224928166;7,252780466;4,08E-13;2,03E-11
TCEA3;0,346668358;1,549301981;0,466784354;3,001742891;0,002684388;0,014717933
BNIP3;0,76191109;1,547186049;0,263138781;6,13173812;8,69E-10;2,50E-08
SH3BGRL3;1,02322741;1,546114839;0,198815437;8,001849325;1,23E-15;8,75E-14
MYO1D;6,309977698;1,527095321;0,198798971;8,127219272;4,39E-16;3,33E-14
KCTD15;0,303769501;1,509551156;0,373145336;3,506080478;0,000454758;0,003335248
OLFM1;0,48497565;1,504197041;0,356719845;4,083961324;4,43E-05;0,000440052
ENPP2;0,615064257;1,501563289;0,386299895;4,31453882;1,60E-05;0,000178371
RARA;0,351623951;1,489779987;0,453574177;2,832021506;0,004625474;0,0233226
CYB5R3;1,050669896;1,485346326;0,211030369;7,389913912;1,47E-13;7,80E-12
CDKL5;1,250913949;1,478968033;0,318436286;4,947567253;7,51E-07;1,16E-05
KLF5;0,163654148;1,476993374;0,844766378;1,426720841;0,153660376;
IGFBP6;0,435416695;1,473106816;0,588527895;1,345894407;0,178336573;0,360034706
CPXM2;0,223305896;1,471223921;0,60319011;2,087000569;0,036888083;
AP1S2;0,371207768;1,468382858;0,423233932;3,388567324;0,000702588;0,004838664
SOD3;0,235381559;1,467639561;0,780603162;1,751938314;0,079784415;
CPEB2;0,610456332;1,465968092;0,480418761;3,268612467;0,001080762;0,006907093
PSD3;8,572081203;1,46123751;0,180888562;8,57576408;9,84E-18;9,86E-16
DUSP6;0,335854759;1,460141736;0,500848359;2,8739101;0,004054243;0,020883052
CARD19;0,488973169;1,455390324;0,322332073;4,528777744;5,93E-06;7,34E-05
FAM171A1;0,541033762;1,450077676;0,458845338;2,783910902;0,005370779;0,026415896
PLXDC2;6,473045782;1,448802332;0,212049606;7,225413269;5,00E-13;2,46E-11
PDE7B;6,657155931;1,446781442;0,295795914;5,378348899;7,52E-08;1,43E-06
SEMA3E;0,526436081;1,444359947;0,690658421;2,689798859;0,00714951;0,03324308
LYSMD4;0,364623981;1,443635213;0,426460636;3,001226724;0,002688943;0,014729905
BOC;2,717924518;1,440306126;0,218958305;6,982389396;2,90E-12;1,22E-10
UBASH3B;0,180287957;1,430484785;1,215276046;0,593876277;0,552594867;
ATAD2;0,962853931;1,429801932;0,384608165;4,007019722;6,15E-05;0,000587522
NUAK1;1,448596667;1,426157705;0,213474305;7,13975714;9,35E-13;4,33E-11
SS18L2;0,996237812;1,424510214;0,221953674;6,713677547;1,90E-11;7,06E-10
IL1R1;0,234969807;1,422018554;0,737504175;1,623215253;0,104543398;
ITGB5;1,050994399;1,417844584;0,200764483;7,400202876;1,36E-13;7,32E-12
HMGN5;0,329409867;1,416014272;0,45691704;2,844921267;0,00444224;0,022581993
SLC29A1;3,627225041;1,413842819;0,178101069;8,274853117;1,29E-16;1,08E-14
CDCA7;0,120703565;1,40646342;0,972154848;1,139760088;0,254386266;
COL16A1;5,726641821;1,401892442;0,132507015;10,92171456;9,08E-28;2,26E-25
FAP;9,802163368;1,399630649;0,181733135;8,109993871;5,06E-16;3,70E-14
SAMD4;9,287585554;1,399163598;0,186943138;7,939361532;2,03E-15;1,39E-13
NR3C2;0,831811349;1,391598197;0,447483144;3,804783087;0,000141929;0,001224528
ST6GALNAC6;0,513755315;1,390598411;0,28379931;4,867976274;1,13E-06;1,68E-05
DGKH;1,708763373;1,389924466;0,363439839;4,366518696;1,26E-05;0,00014363
ACE;0,320262416;1,386914707;0,445858444;2,931976363;0,003368124;0,017867451
ICAM1;0,462722481;1,385873729;0,453115039;3,27859417;0,001043255;0,006705501
PICALM;2,049121231;1,382108936;0,224829198;6,556128369;5,52E-11;1,91E-09
PDZD2;1,275757733;1,379500439;0,300774899;5,14858532;2,62E-07;4,55E-06
MICAL1;0,309764755;1,37757007;0,441247968;2,784542669;0,005360327;0,026406304
1500009L16RIK;0,188003553;1,374603969;1,033030795;1,395294558;0,162927032;
CARMIL1;4,719305356;1,37186781;0,184939841;4,706391467;2,52E-06;3,45E-05
SNX25;0,75743305;1,36904398;0,282009505;5,052315807;4,36E-07;7,18E-06
CRYAB;0,638931997;1,368808678;0,295406662;4,758283634;1,95E-06;2,76E-05
COL6A2;10,28343171;1,36653305;0,173436039;8,210837612;2,20E-16;1,77E-14
NOD1;0,240420149;1,364968754;0,454407087;2,606949027;0,009135296;
LPIN3;0,120463625;1,364582712;1,084815055;1,096495342;0,272862061;
GM9844;0,479342641;1,361496029;0,312531412;4,3718738;1,23E-05;0,000140408
ADAM15;0,393837083;1,360586128;0,303987877;4,270473486;1,95E-05;0,000210365
CLU;15,42886449;1,358150437;0,25922776;5,637953234;1,72E-08;3,78E-07
PDGFRL;1,784884219;1,355791146;0,182848851;7,738461919;1,01E-14;6,25E-13
CCND2;2,39412636;1,352545153;0,233949319;6,185553546;6,19E-10;1,83E-08
NFIA;10,11435372;1,346545563;0,163246404;8,741505226;2,30E-18;2,55E-16
CAVIN3;2,022473502;1,346515106;0,207047687;6,896803956;5,32E-12;2,12E-10
CPED1;1,194295727;1,345783473;0,275162156;5,373724632;7,71E-08;1,46E-06
MAP3K20;0,573814905;1,345473328;0,319532213;4,490249229;7,11E-06;8,70E-05
LXN;0,363698002;1,345084554;0,352786976;3,701407321;0,000214407;0,001761767
COL24A1;1,121341946;1,343691446;0,351422934;2,878375221;0,003997294;0,020641055
CCDC28B;0,391809209;1,335830662;0,417732574;3,032211113;0,002427693;0,01352541
MED30;0,358977937;1,332158239;0,321278207;3,970936355;7,16E-05;0,000672801
UGP2;2,081593355;1,329555503;0,19779622;7,016143938;2,28E-12;9,77E-11
ELK3;1,472097837;1,325479562;0,226285528;6,373419898;1,85E-10;5,83E-09
PDE10A;2,955151964;1,323810646;0,276510933;5,286577199;1,25E-07;2,30E-06
RXRA;0,536015613;1,316647956;0,250539019;5,305439596;1,12E-07;2,08E-06
EMP2;0,786101982;1,314111387;0,264786938;5,379683747;7,46E-08;1,42E-06
ZFP367;0,455531336;1,314088758;0,708565127;2,50007033;0,012416865;0,051837587
NUDT18;0,129865232;1,312808577;0,803116387;1,340481589;0,180088826;
COX15;0,145938799;1,312038085;0,862538131;1,238256902;0,215620819;
TNFRSF11B;1,989400739;1,311935764;0,277877605;5,230590614;1,69E-07;3,08E-06
PDLIM4;0,63053374;1,309817449;0,326141126;4,461932306;8,12E-06;9,78E-05
TOPBP1;0,44825976;1,303276782;0,382734916;3,521549337;0,000429033;0,003195292
H2-D1;0,731102075;1,299239984;0,307806394;4,546522115;5,45E-06;6,83E-05
SLC25A13;0,408147488;1,298178303;0,419953719;1,453229282;0,146160105;0,316247499
C1QTNF1;0,584548704;1,296790791;0,296364366;4,671090771;3,00E-06;4,03E-05
ADAMTS6;1,96416659;1,295368805;0,257766937;5,439251385;5,35E-08;1,05E-06
NDUFA11;1,715098187;1,292652602;0,155504569;8,617578094;6,84E-18;6,96E-16
BMP6;1,26169814;1,291371348;0,403363326;3,836247572;0,000124928;0,001097684
HRAS;0,468690963;1,288804881;0,287581515;4,466868876;7,94E-06;9,63E-05
TMTC1;1,720693257;1,287826689;0,344698024;4,132651141;3,59E-05;0,0003634
SNX27;1,073436176;1,281931675;0,285784336;4,768091427;1,86E-06;2,65E-05
SRPX2;1,462388477;1,273209261;0,22278254;6,05979622;1,36E-09;3,73E-08
JAZF1;0,647581719;1,266482425;0,543869955;2,411048786;0,015906721;0,063018207
SLC7A2;0,806205405;1,263959261;0,299614152;4,615945677;3,91E-06;5,14E-05
KRAS;1,977874106;1,26009556;0,190186718;6,988438595;2,78E-12;1,17E-10
CERCAM;0,405718508;1,259057454;0,38282262;3,352845622;0,000799853;0,005406624
TPRA1;0,266649189;1,256312066;0,447440287;2,584010926;0,00976587;
EID2;0,196793774;1,254506196;0,565151874;1,835068888;0,066495483;
CACNA1D;0,583551148;1,251530904;0,506255536;2,424083645;0,01534707;0,061309325
PCNA;2,005808922;1,250556027;0,233238731;5,822161787;5,81E-09;1,39E-07
TWF2;0,244424028;1,249645362;0,513978336;2,169104048;0,030074785;
HOXA11;0,264402777;1,245935823;0,476478951;2,503250716;0,012305834;
BOD1;0,427408826;1,241466541;0,293898388;4,205723841;2,60E-05;0,000272165
MALL;1,3389185;1,239767095;0,278082942;5,048419859;4,45E-07;7,30E-06
LDLRAD3;7,015323338;1,238762592;0,166399961;7,833835866;4,73E-15;3,09E-13
CST3;84,05904174;1,237620427;0,146561864;8,677065219;4,06E-18;4,20E-16
SULF2;3,625650724;1,231279919;0,265148977;5,153287766;2,56E-07;4,45E-06
BAIAP2L1;1,049055234;1,231170915;0,265256961;3,407465374;0,000655692;0,004581733
PCK2;0,339894899;1,229672602;0,392578896;3,147278285;0,00164798;0,009805799
MFSD5;0,294185086;1,228394975;0,398491959;2,904302565;0,003680723;
HCFC1R1;1,542862143;1,224666826;0,177980881;7,177500389;7,10E-13;3,39E-11
CYP26B1;0,478228575;1,211949139;0,444182262;2,85080612;0,004360855;0,022222832
SHISA5;0,788226609;1,206028914;0,235210143;5,4929839;3,95E-08;7,92E-07
ATP1A2;0,489578222;1,204079706;0,476417242;3,177517859;0,001485415;0,009028768
CAV2;0,376824531;1,199651069;0,377390435;3,243786215;0,001179522;0,007416799
METRNL;0,225999121;1,185081647;0,626000193;1,736605114;0,082456896;
STK38L;2,026253705;1,184737397;0,318127356;4,297287873;1,73E-05;0,000190099
ENC1;0,156377849;1,184028229;0,921630624;1,269598417;0,204227714;
AK1;0,200894926;1,18229229;0,589823492;1,874327335;0,060885322;
IL11RA1;0,61172903;1,181545826;0,273552405;4,55832729;5,16E-06;6,55E-05
TTC39B;0,521668793;1,173813977;0,296682971;4,224601068;2,39E-05;0,000253743
MCUB;0,162939714;1,171537565;0,822465448;1,383436507;0,166531063;
SMS;1,039820438;1,169279555;0,224855214;5,580108118;2,40E-08;5,10E-07
COBLL1;4,505136592;1,16749264;0,216494389;5,837568507;5,30E-09;1,28E-07
FUT10;0,274578699;1,166632902;0,699402828;1,307890847;0,190910334;
MOXD1;0,608233222;1,165783274;0,4438123;3,396891661;0,000681559;0,004720008
HIST1H2AP;0,754124178;1,161982162;0,65050333;2,696760493;0,007001761;0,032697817
PROSER2;0,680112707;1,161749524;0,311236009;4,271606748;1,94E-05;0,000210028
CCDC117;0,249774318;1,158346046;0,463811616;2,265320767;0,023493003;
GALNT5;0,272938891;1,154029462;0,479874916;2,326820889;0,0199748;
PLPP3;0,56263282;1,149134778;0,467471254;3,226157192;0,001254644;0,007813496
HIST1H1B;0,526451695;1,147708355;0,76095062;2,334150694;0,019587833;0,073745222
MTUS1;2,556607909;1,146399641;0,223792431;5,571802341;2,52E-08;5,33E-07
1700023F06RIK;0,534423585;1,144884409;0,308318304;4,000517794;6,32E-05;0,000602183
THRB;3,191714887;1,142123056;0,215141141;5,783895435;7,30E-09;1,69E-07
SMAD7;0,786171021;1,140465886;0,291107729;4,398418059;1,09E-05;0,000126849
HAUS8;0,537287877;1,13873732;0,355723204;3,276482093;0,00105109;0,006738256
DOCK6;0,285700645;1,138593411;0,498604075;2,183135483;0,029025834;
TRIOBP;0,331340006;1,135860435;0,430840273;2,600998761;0,009295279;0,04083612
TMEM109;0,550173218;1,13565609;0,269035187;4,49403647;6,99E-06;8,56E-05
SIX1;0,352847072;1,133261766;0,398586401;2,726374286;0,006403434;0,030434684
