transcript	symbol	MT_baseMean	RU_baseMean	MT_log2FoldChange	RU_log2FoldChange	MT_lfcSE	RU_lfcSE	MT_stat	RU_stat	MT_pvalue	RU_pvalue	MT_padj	RU_padj	interaction_MT_minus_RU
ENSMUST00000000001	Gnai3	1493.42186170603	1201.00972750104	0.224960618749762	0.277436756752068	0.133576935631209	0.161176105529318	1.68412771027218	1.72132684209572	0.0921569901166496	0.0851915313174209	0.142547238137947	0.137496838136564	-0.05247613800230602
ENSMUST00000000010	Hoxb9	8.93708985059473	0.510537102345655	3.25426576611685	0.0244809336870745	0.98109805407199	0.880717051777345	3.3169628179469	0.0277965932846087	0.000910017263955678	0.97782438307934	0.00222882297594795		3.2297848324297758
ENSMUST00000000028	Cdc45	312.033569579712	176.486465124547	-0.110299615193139	-0.465894757184396	0.218204013446667	0.266867205025442	-0.505488480486168	-1.74579247060342	0.613215787321125	0.0808470197953145	0.690448547298403	0.131412182227533	0.35559514199125697
ENSMUST00000000049	Apoh	2.88319981334442	3.55078777458827	-2.22917778539882	-1.42909564412103	1.08022919377997	1.09976199112914	-2.0636155718014	-1.29945902445106	0.0390541799853686	0.193786446811102	0.06677774135575	0.274999819195143	-0.8000821412777901
ENSMUST00000000058	Cav2	129.650970450346	100.683055176207	-0.155378282871294	0.0280869164761907	0.343327739831116	0.34888853940658	-0.452565478535831	0.0805039813688445	0.650861661617821	0.935836429840266	0.723604731516935	0.954225930665007	-0.18346519934748468
ENSMUST00000000080	Klf6	422.29193700526	380.494718583372	0.0599730652969352	-0.532956767424283	0.190571738051348	0.210320071909747	0.314700731127172	-2.53402712629818	0.752988889081632	0.0112760002426525	0.808351111530922	0.0235652015054935	0.5929298327212182
ENSMUST00000000090	Cox5a	850.11349356469	607.818971190078	0.313024089331057	0.173289427850663	0.166524901071786	0.198318085302361	1.87974343366291	0.873795385763541	0.0601430530466722	0.38222969374662	0.0978727546674139	0.479479814998624	0.139734661480394
ENSMUST00000000095	Tbx2	295.215115569515	149.881583602935	1.49389939909861	0.258602999472356	0.217969636387031	0.391844873348947	6.85370413907563	0.659962697131075	7.19618370273815e-12	0.509277767918178	4.71214133376689e-11	0.600983232345162	1.235296399626254
ENSMUST00000000122	Ngfr	24.279494246014	24.4416526818402	-0.490328607488485	-2.92692530466184	0.668323595089184	0.721301580746821	-0.733669454574701	-4.05783847254481	0.463150219275215	4.95290041483922e-05	0.550510663018687	0.000168417545400911	2.436596697173355
ENSMUST00000000127	Wnt3	1.74411455232341	0.957281364205691	1.46818327863088	1.04436616648003	1.04138036846828	1.01439997547086	1.40984343769641	1.02954080415396	0.158585917258179	0.303225615724624	0.226531310743586		0.42381711215085005
ENSMUST00000000129	Fer	201.218361356105	159.249450368181	-1.01747603654524	-1.10492039264491	0.262875848801764	0.283998912983808	-3.87055730369707	-3.89057965411264	0.000108586827628661	0.00010000504155789	0.000309461833807472	0.000322417160030578	0.08744435609967005
ENSMUST00000000137	Actr2	1871.51422071794	1362.10759591642	0.846195603844336	0.914613670274655	0.123904043354602	0.158570671380033	6.82944301843809	5.76786149869213	8.52449468985696e-12	8.02837411705549e-09	5.5494955819574e-11	4.76149488259033e-08	-0.068418066430319
ENSMUST00000000153	Gna12	1025.5753967461	920.612487402964	-0.889714082665815	-0.277590414468878	0.152090926166937	0.178352633225456	-5.84988273192087	-1.5564133225775	4.91919707214364e-09	0.119609839207029	2.42512752070507e-08	0.184096718346978	-0.612123668196937
ENSMUST00000000171	Pih1d2	46.6010063611791	42.4196769182355	0.529422630978643	1.05800838744439	0.468066247460256	0.492539620470632	1.13108482795183	2.1480675735963	0.258019389482602	0.0317083877510343	0.342341141493725	0.0587908286112051	-0.528585756465747
ENSMUST00000000175	Sdhd	1181.56697409516	854.985722043908	-0.987930994287134	-0.735361548680872	0.138213027396745	0.166603806035402	-7.14788622241265	-4.41383403044594	8.81243039145601e-13	1.01555826818949e-05	6.2786410856543e-12	3.87753658514194e-05	-0.25256944560626204
ENSMUST00000000186	Fgf23	0.0	0.348979986849581		0.457870792154177		0.839254512639843		0.54556846017302		0.585362609530143			
ENSMUST00000000187	Fgf6	0.0	0.0											
